R_value,Energy
0.0774,-15.346284
0.0774,-15.346284
0.0774,-15.346284
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0773,-15.34624063
0.0772,-15.34599531
0.0772,-15.34599531
0.0772,-15.34599531
0.0772,-15.34599531
0.0772,-15.34599531
0.0772,-15.34599531
0.0772,-15.34599531
0.0772,-15.34599531
0.0772,-15.34628317
0.0772,-15.34628317
0.0772,-15.34628317
0.0772,-15.34628317
0.0772,-15.34628317
0.0772,-15.34628317
0.0772,-15.34628317
0.0772,-15.34628317
0.0772,-15.34628317
0.0772,-15.34625305
0.0772,-15.34625266
0.0772,-15.34625266
0.0772,-15.34625266
0.0772,-15.34625288
0.0773,-15.34625456
0.0773,-15.34625456
0.0772,-15.34625319
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625283
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625283
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625283
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625283
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625283
0.0772,-15.34625283
0.0772,-15.34625283
0.0772,-15.34625284
0.0772,-15.34625283
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625283
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625283
0.0772,-15.34625284
0.0772,-15.34625283
0.0772,-15.34625284
0.0772,-15.34625283
0.0772,-15.34625283
0.0772,-15.34625283
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625283
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625283
0.0772,-15.34625284
0.0772,-15.34625283
0.0772,-15.34625283
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625283
0.0772,-15.34625283
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625283
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625283
0.0772,-15.34625283
0.0772,-15.34625283
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625283
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625283
0.0772,-15.34625284
0.0772,-15.34625283
0.0772,-15.34625283
0.0772,-15.34625283
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625283
0.0772,-15.34625284
0.0772,-15.34625284
0.0772,-15.34625284
